Station,X,Y,Z,dg 2019
15,2606182.979,1116595.845,2260.4807,-3.739906102
1,2606274,1116301.41,2355.4479,-65.49164659
13,2606338.986,1116251.208,2378.2173,-19.4801389
2,2606367.732,1116218.491,2392.8138,-36.65215031
3,2606470.526,1116141.793,2448.337,-52.46636382
4,2606543.829,1116094.813,2463.9854,-102.844802
5,2606668.946,1116050.28,2482.107,-95.45499965
6,2606748.568,1116013.886,2498.6201,-149.2179487
11,2606502.818,1116032.686,2459.2853,-96.74862663
10,2606577.33,1115995.563,2471.9763,-126.1909698
9,2606631.399,1115977.012,2481.4201,-94.58161448
8,2606750.906,1116107.658,2490.5382,-124.5505495
7,2606852.019,1116126.093,2504.3636,-87.41024563
