d,x,y,z
0,606277.0049,116298.9875,2356.350098
0.671792417,606277.5056,116298.5396,2356.429932
1.343584835,606278.0062,116298.0916,2356.639893
2.015377252,606278.5069,116297.6437,2356.899902
2.68716967,606279.0075,116297.1957,2357.090088
3.358962087,606279.5081,116296.7478,2357.409912
4.030754504,606280.0088,116296.2998,2357.629883
4.702546922,606280.5094,116295.8519,2357.840088
5.374339339,606281.0101,116295.4039,2358.100098
6.046131757,606281.5107,116294.956,2358.330078
6.717924174,606282.0114,116294.508,2358.340088
7.389716592,606282.512,116294.0601,2358.540039
8.061509009,606283.0127,116293.6121,2358.699951
8.733301426,606283.5133,116293.1642,2358.949951
9.405093844,606284.014,116292.7162,2359.120117
10.07688626,606284.5146,116292.2683,2359.27002
10.74867868,606285.0153,116291.8204,2359.459961
11.4204711,606285.5159,116291.3724,2359.669922
12.09226351,606286.0166,116290.9245,2359.879883
12.76405593,606286.5172,116290.4765,2360.110107
13.43584835,606287.0179,116290.0286,2360.219971
14.10764077,606287.5185,116289.5806,2360.409912
14.77943318,606288.0192,116289.1327,2360.659912
15.4512256,606288.5198,116288.6847,2360.860107
16.12301802,606289.0205,116288.2368,2361.120117
16.79481044,606289.5211,116287.7888,2361.219971
17.46660285,606290.0217,116287.3409,2361.409912
18.13839527,606290.5224,116286.8929,2361.620117
18.81018769,606291.023,116286.445,2361.780029
19.4819801,606291.5237,116285.997,2361.97998
20.15377252,606292.0243,116285.5491,2362.060059
20.82556494,606292.525,116285.1011,2362.26001
21.49735736,606293.0256,116284.6532,2362.409912
22.16914977,606293.5263,116284.2052,2362.52002
22.84094219,606294.0269,116283.7573,2362.669922
23.51273461,606294.5276,116283.3094,2362.850098
24.18452703,606295.0282,116282.8614,2362.98999
24.85631944,606295.5289,116282.4135,2363.189941
25.52811186,606296.0295,116281.9655,2363.409912
26.19990428,606296.5302,116281.5176,2363.449951
26.8716967,606297.0308,116281.0696,2363.639893
27.54348911,606297.5315,116280.6217,2363.840088
28.21528153,606298.0321,116280.1737,2364.060059
28.88707395,606298.5328,116279.7258,2364.199951
29.55886637,606299.0334,116279.2778,2364.389893
30.23065878,606299.5341,116278.8299,2364.540039
30.9024512,606300.0347,116278.3819,2364.73999
31.57424362,606300.5354,116277.934,2364.939941
