x [m],y [m],z [m],stn. height above GW table [m],dg/dH (x-component) [uGal/m],dg/dH (y-component) [uGal/m],dg/dH (z-component) [uGal/m],dg/dH [uGal/m]
2606057.0,1115719.0,2529.0,4.0,-18.638140127688654,20.800071417073823,-32.23630737537208,42.65211309623708
2606077.0,1115719.0,2540.0,4.0,-20.838957531688315,15.627704581600055,-29.537806533170336,39.38234777521869
2606097.0,1115719.0,2552.0,4.0,-24.53955556444833,15.980656226457768,-29.121044311645512,41.2989876695506
2606117.0,1115719.0,2562.0,4.0,-22.61983283664628,17.790691947702232,-30.683998158982355,42.06748507524892
2606137.0,1115719.0,2572.0,4.0,-21.199785133239388,17.84191318196719,-35.66117598728596,45.160649114960165
2606157.0,1115719.0,2580.0,4.0,-20.830749086674516,15.151264502310854,-38.85993693219148,46.621621828341354
2606177.0,1115719.0,2585.0,4.0,-22.619799623755185,6.5127063298152565,-44.045659276537734,49.94087283840867
2606197.0,1115719.0,2584.0,4.0,-16.5494044078548,-7.953495438090685,-47.25942234856458,50.701024414290266
2606217.0,1115719.0,2578.0,4.0,-8.085274940512521,-5.562535013571467,-42.74186785950554,43.8540845846806
2606237.0,1115719.0,2574.0,4.0,-6.746765809480245,-9.712155210381797,-42.16989188215857,43.796627599296514
2606257.0,1115719.0,2568.0,4.0,-6.357388086971787,-10.736630185981314,-35.95610579882557,38.05960004066297
2606277.0,1115719.0,2564.0,4.0,-9.824904619382659,-7.846440481707203,-35.536073395035906,37.694931905367845
2606297.0,1115719.0,2562.0,4.0,-14.650712586893158,-9.447617602629144,-33.77512162498259,38.00867925160811
2606317.0,1115719.0,2556.0,4.0,-20.944044607607097,-16.230237516348318,-20.67070810783963,33.60582967346623
2606337.0,1115719.0,2541.0,4.0,-4.424297228147673,1.5076497143257082,-10.241803367977216,11.257972723914863
2606357.0,1115719.0,2542.0,4.0,-9.599934934411829,4.773823145121522,-22.96036112837214,25.34021154827049
2606377.0,1115719.0,2545.0,4.0,-12.803925562358554,3.9455507012831847,-26.151870945341113,29.384149368062225
2606397.0,1115719.0,2548.0,4.0,-14.035407143815856,3.912821151214445,-28.21054012641304,31.751179462785764
2606417.0,1115719.0,2550.0,4.0,-13.026341641803773,4.131126857431466,-28.64273007672553,31.735749115616294
2606437.0,1115719.0,2553.0,4.0,-13.643201478204938,5.0183109683853475,-32.276387110919565,35.39894852229717
2606457.0,1115719.0,2555.0,4.0,-13.657159319592107,1.8621503194904345,-32.30119840906571,35.11912617299766
2606477.0,1115719.0,2556.0,4.0,-12.312766081489087,1.498022772816841,-30.532668519310036,32.9559118780745
2606497.0,1115719.0,2558.0,4.0,-11.799412861043903,5.0735178275783595,-29.755759646755525,32.40944243839453
2606517.0,1115719.0,2562.0,4.0,-12.990246539246842,5.516045259710954,-32.34367267037426,35.28861604350487
2606537.0,1115719.0,2565.0,4.0,-14.630763016334651,4.52815833784644,-34.627857420426906,37.86359668470718
2606557.0,1115719.0,2567.0,4.0,-15.481445535813329,0.7698604505308393,-31.903509893845342,35.4697305394097
2606577.0,1115719.0,2568.0,4.0,-14.584779856765925,0.5402763833240006,-29.265487944451156,32.70285135378135
2606597.0,1115719.0,2570.0,4.0,-13.196378527608164,2.766569533106865,-26.73836281434712,29.94558997944596
2606617.0,1115719.0,2575.0,4.0,-14.40518520804702,6.145099906084649,-26.70226447618043,30.956139001655
2606637.0,1115719.0,2581.0,4.0,-15.278247333527482,6.929843632438478,-27.106841176273416,31.87833767482551
2606657.0,1115719.0,2587.0,4.0,-14.288410793866557,9.068214409522842,-27.822308133268358,32.56488945864688
2606677.0,1115719.0,2594.0,4.0,-15.442037743376213,8.374184618923673,-31.38238614742088,35.964394308892615
2606697.0,1115719.0,2598.0,4.0,-15.10275232148723,4.613321833131324,-28.642442027807206,32.70726756145385
2606717.0,1115719.0,2602.0,4.0,-13.438312893926105,8.22037359905875,-27.037706983231423,31.292177847734475
2606737.0,1115719.0,2608.0,4.0,-14.185262004856202,9.126629846950113,-29.014080503865618,33.56089834903786
2606757.0,1115719.0,2615.0,4.0,-15.374241313586285,9.951338460173828,-30.753127906772594,35.79317405829823
2606777.0,1115719.0,2621.0,4.0,-15.098780895616,10.354915851402012,-37.48450064305142,41.7167263250888
2606797.0,1115719.0,2623.0,4.0,-12.566391602466686,-3.3749165202573246,-41.91006047977096,43.88345279081069
2606817.0,1115719.0,2619.0,4.0,-12.957806187649862,-8.460721168479614,-33.04608122370988,36.49016344347456
2606837.0,1115719.0,2615.0,4.0,-10.736720115580269,-0.6465493218537065,-23.83334287193269,26.14810542500164
2606057.0,1115739.0,2516.0,4.0,-16.036066524192183,16.889137072834718,-34.546453824122004,41.663603450199915
2606077.0,1115739.0,2525.0,4.0,-17.198870573416905,12.08125768957588,-28.49151676877415,35.405147424469526
2606097.0,1115739.0,2533.0,4.0,-16.181422137732767,11.389817136465842,-26.147077281960843,32.79079149990851
2606117.0,1115739.0,2543.0,4.0,-14.772963810909278,11.282980609209979,-20.471685937740684,27.65205302178725
2606137.0,1115739.0,2559.0,4.0,-21.049935533449073,20.580348258381573,-28.28801006882628,40.82722172831074
2606157.0,1115739.0,2567.0,4.0,-18.80421770079663,16.325620460814317,-35.76418909901025,43.57983144390621
2606177.0,1115739.0,2574.0,4.0,-19.70288381106794,12.521340553221565,-43.826225229572245,49.6560733203441
2606197.0,1115739.0,2577.0,4.0,-16.831411458496582,-0.019832274239878916,-50.486985452728206,53.21872325702957
2606217.0,1115739.0,2574.0,4.0,-14.615833278675392,-4.637162336557889,-48.36336870294771,50.7359959916319
2606237.0,1115739.0,2571.0,4.0,-10.608006843178558,-8.35468422485955,-47.17560802103447,49.07003719008507
2606257.0,1115739.0,2565.0,4.0,-8.564296931172924,-13.850265718779733,-41.50819183645995,44.58819386270836
2606277.0,1115739.0,2558.0,4.0,-19.049833726473878,-18.567838666625274,-31.151869511142994,40.96461609481294
